evidence_id,experiment_id,experiment_ids,workstream,integrity_status,scientific_status,claim_eligibility,paper_role,package_path,package_sha256,source_alias,source_relpath,source_sha256,source_hash_basis,transformation,tier
accepted_result_anchors,,,,hash_anchored,accepted_result_anchor_snapshot,provenance_only,binds_public_source_to_accepted_archives,provenance/public_source/accepted_result_anchors.json,bd245c11cee86de4eefc6ea17911524299fd2d8667593c2304c690f1b99ef1fc,source,provenance/accepted_result_anchors.json,bd245c11cee86de4eefc6ea17911524299fd2d8667593c2304c690f1b99ef1fc,selection_anchor,text_identity,
public_experiment_catalog,,,,hash_anchored,catalog_snapshot,provenance_only,maps_public_experiment_records,provenance/public_source/catalog.json,a416e743cc29114401a211a391d57c0cfb357387b3c894cc6e9bcc1ab1bdf9cd,source,experiments/catalog.json,a416e743cc29114401a211a391d57c0cfb357387b3c894cc6e9bcc1ab1bdf9cd,selection_anchor,text_identity,
discovery_60run__COMPLETE_60RUN_ANALYSIS_20260718_md__ef37136b0e,01_scale_up,01_scale_up;02_long_token_budget;04_dataset_generalization;12_paper_block4_correction,discovery_regime_map,accepted_compact_analysis,multi_experiment_60_run_regime_map,claim_eligible_with_original_scope,discovery_and_regime_map,results/01_discovery_regime_map/60run/COMPLETE_60RUN_ANALYSIS_20260718.md,06b290a6a627179b4e4e83c7ceeeb32a31e035cb57b971981a7433eea2b477ac,results,paper_evidence_20260720/01_core_evidence/60run_local_reference_pipeline/COMPLETE_60RUN_ANALYSIS_20260718.md,06b290a6a627179b4e4e83c7ceeeb32a31e035cb57b971981a7433eea2b477ac,observed_after_record_anchor_verification,text_identity,core
discovery_60run__batch_metadata_json__bc2a3c523b,01_scale_up,01_scale_up;02_long_token_budget;04_dataset_generalization;12_paper_block4_correction,discovery_regime_map,accepted_compact_analysis,multi_experiment_60_run_regime_map,claim_eligible_with_original_scope,discovery_and_regime_map,results/01_discovery_regime_map/60run/batch_metadata.json,91d511e5f1c601405427f541f5f1c0be619951a79f3875c705cca0bcc8e5d428,results,paper_evidence_20260720/01_core_evidence/60run_local_reference_pipeline/batch_metadata.json,91d511e5f1c601405427f541f5f1c0be619951a79f3875c705cca0bcc8e5d428,selection_anchor,text_identity,core
discovery_60run__data_quality_profile_csv__e5afca7024,01_scale_up,01_scale_up;02_long_token_budget;04_dataset_generalization;12_paper_block4_correction,discovery_regime_map,accepted_compact_analysis,multi_experiment_60_run_regime_map,claim_eligible_with_original_scope,discovery_and_regime_map,results/01_discovery_regime_map/60run/data_quality_profile.csv,edb94011fe86c0ee9e4b236dc191da415317c8913b25358cae89ddb652b14185,results,paper_evidence_20260720/01_core_evidence/60run_local_reference_pipeline/data_quality_profile.csv,edb94011fe86c0ee9e4b236dc191da415317c8913b25358cae89ddb652b14185,observed_after_record_anchor_verification,text_identity,core
discovery_60run__method_seed_aggregate_csv__13835dfd66,01_scale_up,01_scale_up;02_long_token_budget;04_dataset_generalization;12_paper_block4_correction,discovery_regime_map,accepted_compact_analysis,multi_experiment_60_run_regime_map,claim_eligible_with_original_scope,discovery_and_regime_map,results/01_discovery_regime_map/60run/method_seed_aggregate.csv,2c043c5728bf12c0ccb284c0f92f2dd47386e785150f8f7a2d7d7bade9909e1d,results,paper_evidence_20260720/01_core_evidence/60run_local_reference_pipeline/method_seed_aggregate.csv,2c043c5728bf12c0ccb284c0f92f2dd47386e785150f8f7a2d7d7bade9909e1d,observed_after_record_anchor_verification,text_identity,core
discovery_60run__paired_seed_summary_csv__45912db5c4,01_scale_up,01_scale_up;02_long_token_budget;04_dataset_generalization;12_paper_block4_correction,discovery_regime_map,accepted_compact_analysis,multi_experiment_60_run_regime_map,claim_eligible_with_original_scope,discovery_and_regime_map,results/01_discovery_regime_map/60run/paired_seed_summary.csv,8026963f310327a414676b8a2e4b1c5a75137dce8518298543144c5a52af972f,results,paper_evidence_20260720/01_core_evidence/60run_local_reference_pipeline/paired_seed_summary.csv,8026963f310327a414676b8a2e4b1c5a75137dce8518298543144c5a52af972f,observed_after_record_anchor_verification,text_identity,core
discovery_60run__pairwise_validation_summary_csv__fdb09eca5b,01_scale_up,01_scale_up;02_long_token_budget;04_dataset_generalization;12_paper_block4_correction,discovery_regime_map,accepted_compact_analysis,multi_experiment_60_run_regime_map,claim_eligible_with_original_scope,discovery_and_regime_map,results/01_discovery_regime_map/60run/pairwise_validation_summary.csv,be941da4a14e62a5e3637da42c254b003eb9dbe59677fbcdde9051b36ed21e07,results,paper_evidence_20260720/01_core_evidence/60run_local_reference_pipeline/pairwise_validation_summary.csv,be941da4a14e62a5e3637da42c254b003eb9dbe59677fbcdde9051b36ed21e07,observed_after_record_anchor_verification,text_identity,core
discovery_60run__run_summary_csv__9b89722bb5,01_scale_up,01_scale_up;02_long_token_budget;04_dataset_generalization;12_paper_block4_correction,discovery_regime_map,accepted_compact_analysis,multi_experiment_60_run_regime_map,claim_eligible_with_original_scope,discovery_and_regime_map,results/01_discovery_regime_map/60run/run_summary.csv,4373b2c049f69e46f078de0cb08cb304c35a3e603f52bf6942a4b771e6f0d3fa,results,paper_evidence_20260720/01_core_evidence/60run_local_reference_pipeline/run_summary.csv,4373b2c049f69e46f078de0cb08cb304c35a3e603f52bf6942a4b771e6f0d3fa,observed_after_record_anchor_verification,text_identity,core
discovery_60run__source_manifest_csv__a14f9df1fa,01_scale_up,01_scale_up;02_long_token_budget;04_dataset_generalization;12_paper_block4_correction,discovery_regime_map,accepted_compact_analysis,multi_experiment_60_run_regime_map,claim_eligible_with_original_scope,discovery_and_regime_map,results/01_discovery_regime_map/60run/source_manifest.csv,a8201e649b7a5258aaa21a23dabed64d5922d560a3d2717d048b8564cde1e983,results,paper_evidence_20260720/01_core_evidence/60run_local_reference_pipeline/source_manifest.csv,1a9bc7bd15995b01bfea0c259c869fb9220864cd1876f0c29af3627a337eeef4,observed_after_record_anchor_verification,submission_sanitized,core
